"Customweb_SaferpayCw::* Required Fields","* Erforderliche Felder"
"Customweb_SaferpayCw::Transaction not started by the customer.","Transaktion nicht vom Kunden gestartet."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"Customweb_SaferpayCw::Transactions","Transaktionen"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Die Karten-ID '@id' konnte keiner Zahlungsmethode zugeordnet werden."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","Die Payment Method ID '@id' konnte keiner Zahlungsmethode zugeordnet werden."
"Customweb_SaferpayCw::Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Customweb_SaferpayCw::Uncertain Status","Unsicherer Status"
"Customweb_SaferpayCw::Uncertain transactions","Unsichere Transaktionen"
"Customweb_SaferpayCw::Unknown alias or already used.","Unknown alias or already used."
"Customweb_SaferpayCw::Unkown alias or already used.","Unbekannter Alias oder bereits verwendet."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox nicht anklicken, wird die Bestellung beim PSP verbucht und es können keine weiteren Captures erstellt werden."
"Customweb_SaferpayCw::Update","Update"
"Customweb_SaferpayCw::Update Qty's","Anzahl anpassen"
"Customweb_SaferpayCw::Update interval for payments","Update Intervall für Zahlungen"
"Customweb_SaferpayCw::Use Base Currency","Basiswährung verwenden"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","CVC zur Kartenverifikation nutzen (empfohlen)"
"Customweb_SaferpayCw::Use Default","Standardeinstellungen benutzen"
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","MoTo Account für Alias-Transaktionen benutzen"
"Customweb_SaferpayCw::Use MoTo account","MoTo Account benutzen"
"Customweb_SaferpayCw::Use base currency","Zahlung in der Standard Währung setteln."
"Customweb_SaferpayCw::Use normal account (recommended)","Normalen Account benutzen (empfohlen)"
"Customweb_SaferpayCw::Use shipping address","Lieferadresse benutzen"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Benutzen Sie den MoTo Account für wiederholte Zahlungen. In diesem Fall wird keine 3D Secure Verifikation durchgeführt."
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Validierung"
"Customweb_SaferpayCw::Version","Version"
"Customweb_SaferpayCw::View","Anzeigen"
"Customweb_SaferpayCw::Visa","VISA"
"Customweb_SaferpayCw::Wait On Success Page","Auf der Success Seite warten"
"Customweb_SaferpayCw::Wallet used","Wallet verwendet"
"Customweb_SaferpayCw::We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  Saferpay gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status 'bezahlt'. Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Customweb_SaferpayCw::Year","Jahr"
"Customweb_SaferpayCw::Yes","Ja"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unsicheren Autorisierung."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","Hier können Sie die CSS URL festlegen, die in der Payment Page enthalten sein soll. CSS kann nur benutzt werden, wenn SSL auf dem Hostserver aktiviert ist."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","Setzen Sie die Payment Page Konfiguration hier fest. Sie können im Backend von Saferpay  neue Konfigurationen anlegen. Sofern die Konfiguration nicht gefunden wir, wird das Default Layout dargestellt."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","Aktivieren Sie die Abnahmetests um das Modul durch Billpay prüfen zu lassen."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt nach der Bestellung oder manuell im Backend verbucht werden."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"Customweb_SaferpayCw::You created the order.","Sie haben die Bestellung aufgegeben."
"Customweb_SaferpayCw::You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","Sie haben die Zahlung erfolgreich abgebrochen."
"Customweb_SaferpayCw::You have to agree to the general terms.","Sie müssen den Allgemeinen Geschäftsbedingung zustimmen"
"Customweb_SaferpayCw::You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"Customweb_SaferpayCw::You have to enter the BIC.","Sie müssen die BIC eingeben."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"Customweb_SaferpayCw::You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"Customweb_SaferpayCw::You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"Customweb_SaferpayCw::You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_SaferpayCw::You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_SaferpayCw::You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_SaferpayCw::You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"Customweb_SaferpayCw::You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"Customweb_SaferpayCw::Your 3ds check failed.","Ihr 3DS Check ist fehlgeschlagen."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Customweb_SaferpayCw::Your card is expired.","Ihre Karte ist abgelaufen."
"Customweb_SaferpayCw::Your checkout session expired.","Ihre Sitzung ist abgelaufen."
"Customweb_SaferpayCw::Your order description","Beschreibung"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Alias"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","Die SaferpayCw Authorisierung hat mit !result '!authmessage' geantwortet"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","SaferpayCw Verifikationsantwort ist fehlgeschlagen. Eine Manipulation ist möglich. Grund: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay","Saferpay"
"Customweb_SaferpayCw::Saferpay API password","Saferpay API Passwort"
"Customweb_SaferpayCw::Saferpay Aliases","Saferpay Aliasse"
"Customweb_SaferpayCw::Saferpay Error","Saferpay Fehler"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Saferpay Parameter"
"Customweb_SaferpayCw::Saferpay Refund Items","Saferpay Gutschriftsartikel"
"Customweb_SaferpayCw::Saferpay Section","Saferpay Sektion"
"Customweb_SaferpayCw::Saferpay Transactions","Saferpay Transaktion"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay Account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","Saferpay sendet eine E-Mail an diese Adresse, wenn eine Zahlung erfolgreich autorisiert wurde. (Nur verfügbar für Zahlungen, bei denen der Kunde zu Saferpay umgeleitet wird.)"
"Customweb_SaferpayCw::Saferpay: Alias Management","Saferpay: Alias Management"
"Customweb_SaferpayCw::customweb ltd","customweb GmbH"
"Customweb_SaferpayCw::no","Nein"
"Customweb_SaferpayCw::or","oder"
"Customweb_SaferpayCw::yes","Ja"
