"Customweb_SaferpayCw::* Required Fields","* campo obbligatorio"
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"Customweb_SaferpayCw::You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"Customweb_SaferpayCw::You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Customweb_SaferpayCw::You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"Customweb_SaferpayCw::You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_SaferpayCw::You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"Customweb_SaferpayCw::You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"Customweb_SaferpayCw::Your 3ds check failed.","Il controllo 3ds non é andato a buon fine."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Customweb_SaferpayCw::Your card is expired.","La tua carta é scaduta."
"Customweb_SaferpayCw::Your checkout session expired.","Your checkout session expired."
"Customweb_SaferpayCw::Your order description","Descrizione dell'ordine"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Alias"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","SaferpayCw Autorizzazione  con: !result '!authmessage'"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","SaferpayCw Verifica risposta non riuscita. Manipolazione possibile. Motivo: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay API password","Saferpay password di API"
"Customweb_SaferpayCw::Saferpay Aliases","Saferpay Aliases"
"Customweb_SaferpayCw::Saferpay Error","Errore di Saferpay"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Impostazioni per Saferpay"
"Customweb_SaferpayCw::Saferpay Refund Items","Articoli rimborsati Saferpay"
"Customweb_SaferpayCw::Saferpay Section","Sezione Saferpay"
"Customweb_SaferpayCw::Saferpay Transactions","Saferpay transazioni"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay Account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","Saferpay invierà un'e-mail a questo indirizzo, ogni volta che un pagamento è stato autorizzato con successo. (Disponibile solo per i pagamenti in cui il cliente viene reindirizzato a Saferpay.)"
"Customweb_SaferpayCw::Saferpay:","Saferpay:"
"Customweb_SaferpayCw::Saferpay: Alias Management","Saferpay: Alias Management"
"Customweb_SaferpayCw::customweb ltd","customweb SRL"
"Customweb_SaferpayCw::no","no"
"Customweb_SaferpayCw::or","oppure"
"Customweb_SaferpayCw::yes","yes"
