"Customweb_SaferpayCw::* Required Fields","* Champs requis"
"Customweb_SaferpayCw::You have to agree to the general terms.","Vous devez accepter les Conditions Générales"
"Customweb_SaferpayCw::You have to enter a card number.","Vous devez insérer le numéro de carte."
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Il faut insérer le code banquaire de votre banque."
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Il faut insérer le numéro de commerce de votre entreprise."
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"Customweb_SaferpayCw::You have to enter the BIC.","Vous devez saisir le code BIC."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"Customweb_SaferpayCw::You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"Customweb_SaferpayCw::You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"Customweb_SaferpayCw::You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"Customweb_SaferpayCw::You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"Customweb_SaferpayCw::You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_SaferpayCw::You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"Customweb_SaferpayCw::You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"Customweb_SaferpayCw::Your 3ds check failed.","Vos vérifications 3ds ont échoué."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Customweb_SaferpayCw::Your card is expired.","Votre carte est expirée."
"Customweb_SaferpayCw::Your checkout session expired.","Your checkout session expired."
"Customweb_SaferpayCw::Your order description","Description de la commande"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Alias"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","SaferpayCw Autorisation répondu avec:  !result '!authmessage'"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","Vérification de la réponse SaferpayCw a échoué. Manipulation possible. Raison: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay","Saferpay"
"Customweb_SaferpayCw::Saferpay API password","Saferpay API mot de passe"
"Customweb_SaferpayCw::Saferpay Aliases","Alias Saferpay"
"Customweb_SaferpayCw::Saferpay Error","Erreur de Saferpay"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Saferpay Paramètres"
"Customweb_SaferpayCw::Saferpay Refund Items","Saferpay _ remboursement articles"
"Customweb_SaferpayCw::Saferpay Section","Section Saferpay"
"Customweb_SaferpayCw::Saferpay Transactions","Transactions de Saferpay"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay Account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","PaymentServiceProviderName____ enverra un courriel à cette adresse, chaque fois qu'un paiement est autorisé avec succès. (Disponible uniquement pour les paiements où le client est redirigé vers Saferpay.)"
"Customweb_SaferpayCw::Saferpay: Alias Management","Saferpay: Gestion des Alias"
"Customweb_SaferpayCw::customweb ltd","customweb ltd"
"Customweb_SaferpayCw::no","no"
"Customweb_SaferpayCw::or","ou"
"Customweb_SaferpayCw::yes","Oui"
